"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/09/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/10/2020","AQS","060590007","1","0.6","ppm","7","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/11/2020","AQS","060590007","1","0.7","ppm","8","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/12/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/13/2020","AQS","060590007","1","0.7","ppm","8","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/14/2020","AQS","060590007","1","0.9","ppm","10","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/15/2020","AQS","060590007","1","0.7","ppm","8","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/16/2020","AQS","060590007","1","0.7","ppm","8","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/17/2020","AQS","060590007","1","0.6","ppm","7","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/18/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","18","75.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/19/2020","AQS","060590007","1","0.4","ppm","5","Anaheim","16","67.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/20/2020","AQS","060590007","1","0.7","ppm","8","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/21/2020","AQS","060590007","1","1","ppm","11","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/22/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/23/2020","AQS","060590007","1","0.4","ppm","5","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/24/2020","AQS","060590007","1","0.6","ppm","7","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/25/2020","AQS","060590007","1","1","ppm","11","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/26/2020","AQS","060590007","1","0.6","ppm","7","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/27/2020","AQS","060590007","1","0.9","ppm","10","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/28/2020","AQS","060590007","1","1","ppm","11","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"02/29/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/01/2020","AQS","060590007","1","0.2","ppm","2","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/02/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/03/2020","AQS","060590007","1","0.7","ppm","8","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/04/2020","AQS","060590007","1","0.4","ppm","5","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/05/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/06/2020","AQS","060590007","1","0.4","ppm","5","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/07/2020","AQS","060590007","1","0.2","ppm","2","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/08/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/09/2020","AQS","060590007","1","0.4","ppm","5","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/10/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/11/2020","AQS","060590007","1","0.2","ppm","2","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/12/2020","AQS","060590007","1","0.7","ppm","8","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/13/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/14/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/15/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/16/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/17/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/18/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/19/2020","AQS","060590007","1","0.2","ppm","2","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/20/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/21/2020","AQS","060590007","1","0.4","ppm","5","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/22/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/23/2020","AQS","060590007","1","0.2","ppm","2","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/24/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/25/2020","AQS","060590007","1","0.2","ppm","2","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/26/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/27/2020","AQS","060590007","1","0.4","ppm","5","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/28/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/29/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/30/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"03/31/2020","AQS","060590007","1","0.5","ppm","6","Anaheim","24","100.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
"04/01/2020","AQS","060590007","1","0.3","ppm","3","Anaheim","2","8.0000","42101","Carbon monoxide","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","059","Orange","33.83062","-117.93845"
